timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-24T20:45-07:00[America/Denver],809.68,809.70333333333333333333333333333,0.99991355356591540598950293300401,812.68375,810.912,811.93572234767301817286250144545,811.05497557529272675659655805163,0.17540031240463349286555131862322,0.39429634221946683199008059516429,49.026176948041967314531202641333,-60.869565217391304347826086956522,6.9501634982284936680137440730643,4.184368201401253
2013-11-24T20:50-07:00[America/Denver],808.4,809.59666666666666666666666666667,0.99841912854461021638178045647663,812.52375,811.175,811.15000627041234754635355329475,810.80212075859818137269906908480,0.12828649683025672237992441349078,0.23558586484810911345319280843149,47.282043403307841135173675832735,-68.574836016696481812760882528324,6.7821553233170689846130568694111,3.952459322229332
2013-11-24T20:55-07:00[America/Denver],807.0,807.32,0.99826818406729341909945571499258,811.6125,811.275,810.22778265476515929494179190508,810.44001401968406889179251626538,0.076126489964188088262539523307401,0.061996280223186608803471791692498,45.380426499954852407831516859198,-76.923076923076923076923076923077,6.5990475571512155353824040259405,4.046779520778951
2013-11-24T21:00-07:00[America/Denver],807.2,808.40333333333333333333333333333,1.0002478314745972738537794299876,810.5775,810.935,809.55494206481734618557211936540,810.13144125590463378546953297088,0.036341589865969644081381770734555,0.086794792312461252324860508369498,45.716305485635795538193574925244,-85.406859448554135843981170141224,6.5875951792936547586132838246435,4.1388663044020015
2013-11-24T21:05-07:00[America/Denver],807.32,811.47333333333333333333333333333,1.0001486620416253716551040634291,809.38875,810.901,809.05828827263571374955480539125,809.86368494581847820961267333098,0.0059247851939055098985930051767831,0.10167389956602603843769373837570,45.931146711199088948680029328911,-84.599865501008742434431741761937,6.8927154203289720206826196334113,3.828402181760182
2013-11-24T21:10-07:00[America/Denver],811.38,814.21333333333333333333333333333,1.0050289847891790120398355051281,808.81125,811.21,809.57422421204999953139347691843,810.00809590335957551070796352751,0.022018017533348995091643467509952,0.60508369497830130192188468691878,52.745448175130333177166272480461,-57.567567567567567567567567567568,7.1760796493125234196484886517407,3.644509429208798
2013-11-24T21:15-07:00[America/Denver],809.46,812.92666666666666666666666666667,0.99763366116985875915107594468683,808.77375,811.3905,809.54884105381666630473324231545,809.95589629351580641888702907590,0.015462908636014237448870364216880,0.36701797892126472411655300681959,49.564168250678994771468446654285,-74.147727272727272727272727272727,7.3372756668468972486660642191537,3.2678402809869422
2013-11-24T21:20-07:00[America/Denver],811.46,813.43666666666666666666666666667,1.0024707829911298890618436982680,808.9875,811.663,809.97354304185740708343343410794,810.09914426556192008110266296856,0.029848470305374509643779491499556,0.61500309981401115933044017358958,52.760388272742498077575957828810,-59.914712153518123667377398720682,7.5129118835045523862327610081960,3.2535243841667065
2013-11-24T21:25-07:00[America/Denver],810.74,811.16666666666666666666666666667,0.99911271042318783427402459763882,809.12,811.80,810.14386681033353882563807190301,810.16017814503221340152405340706,0.033686436120995068334410335816875,0.52572845629262244265344079355239,51.495210645154730437684231093422,-65.031982942430703624733475479744,7.2012662893293247669211229577862,3.1230054859551757
2013-11-24T21:30-07:00[America/Denver],807.54,811.16,0.99605298862767348348422428892123,809.0125,811.764,809.56522974137053025558220726531,809.91063736931485976544701425665,0.0047954385854246851129484508832326,0.12895226286422814631122132672040,46.193384644756499283562829746358,-87.775408670931058990760483297797,7.3942029748628585285750668098969,2.9268095745562754
2013-11-24T21:35-07:00[America/Denver],810.18,811.61333333333333333333333333333,1.0032691879040047551824058250984,809.41,811.279,809.70184535439930129623571101459,809.93629095318963502370007731714,0.0081064828168892568424142963008587,0.45629262244265344079355238685679,50.702793121557433836315138875082,-69.012082444918265813788201847903,7.5574928261197156021463134694021,2.2763653673596176
